Run No 	 Compute Time (ms) 	 Avg Compute Time (ms) 	 tConvolveRGB 	 treluq7_1 	 tmaxpool_1 	 tconvolveQ7Fast_1 	 treluq7_2 	 tmaxpool_2 	 tconvolveQ7Fast_2 	 treluq7_3 	 tmaxpool_3 	 tfullconnect 	 tsoftmax
76 	 3.947000 	 4.045526 	 2.603000 	 0.098000 	 0.170000 	 0.787000 	 0.013000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
77 	 3.923000 	 4.043935 	 2.554000 	 0.097000 	 0.173000 	 0.787000 	 0.012000 	 0.021000 	 0.260000 	 0.003000 	 0.011000 	 0.002000 	 0.001000
78 	 3.924000 	 4.042397 	 2.578000 	 0.099000 	 0.173000 	 0.786000 	 0.013000 	 0.021000 	 0.237000 	 0.002000 	 0.011000 	 0.002000 	 0.001000
79 	 3.933000 	 4.041013 	 2.552000 	 0.098000 	 0.173000 	 0.786000 	 0.012000 	 0.022000 	 0.273000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
80 	 4.038000 	 4.040975 	 2.631000 	 0.102000 	 0.184000 	 0.816000 	 0.013000 	 0.021000 	 0.250000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
81 	 4.060000 	 4.041210 	 2.667000 	 0.104000 	 0.171000 	 0.818000 	 0.013000 	 0.021000 	 0.248000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
82 	 3.898000 	 4.039463 	 2.552000 	 0.097000 	 0.173000 	 0.788000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
83 	 4.051000 	 4.039602 	 2.667000 	 0.120000 	 0.174000 	 0.792000 	 0.012000 	 0.021000 	 0.241000 	 0.003000 	 0.011000 	 0.005000 	 0.000000
84 	 4.133000 	 4.040714 	 2.681000 	 0.099000 	 0.218000 	 0.830000 	 0.013000 	 0.021000 	 0.248000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
85 	 3.896000 	 4.039012 	 2.544000 	 0.102000 	 0.173000 	 0.788000 	 0.013000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
86 	 3.962000 	 4.038116 	 2.582000 	 0.099000 	 0.172000 	 0.810000 	 0.013000 	 0.021000 	 0.248000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
